5C:5B:35:6E:75:D2	 LLamaGuest
48:F8:B3:42:09:CD	 Cisco99917
EC:58:EA:43:6E:C8	 YOUnion.SynergyWifi.com
78:23:AE:5C:F9:04	 ERG
EC:58:EA:83:6E:C8	 register.synergywifi.com
EC:58:EA:C3:6E:C8	 YounionStaff
C0:56:27:3F:5A:E0	 Issa_Properties
BA:9F:09:CE:0A:48	 myChevrolet
A8:9F:EC:2C:83:18	 Hanlin
60:D0:2C:A5:BA:58	 register.synergywifi.com
00:0D:67:08:02:6E	 2020WWRoam
F4:30:B9:B6:B4:6C	 DIRECT-6B-HP ENVY 4520 series
60:D0:2C:A5:B9:E8	 register.synergywifi.com
38:FF:36:AE:7F:28	 FoundryStaff.SynergyWifi.com
38:FF:36:EE:7F:28	 register.synergywifi.com
14:22:DB:95:A6:C8	 
18:4B:0D:F6:AA:18	 register.synergywifi.com
3C:8C:F8:F3:05:47	 TRENDNET Network 2.4GHz
4E:D9:E7:7B:54:84	 Young Basile Guest
4A:D9:E7:7B:54:84	 Young Basile
AC:22:0B:D0:16:B0	 Wu Tang Lan
18:4B:0D:AD:38:9C	 
60:3D:26:6F:EC:8C	 BROADCOM_GUEST_0_6
60:3D:26:6F:EC:8B	 BROADCOM_GUEST_0_5
EE:97:BA:C3:4C:E0	 
F8:E7:1E:84:96:38	 FoundryStaff.SynergyWifi.com
60:3D:26:6F:EC:89	 BROADCOM_GUEST_0_3
F8:E7:1E:04:96:38	 Foundry.SynergyWifi.com
F0:B4:29:FD:F1:6D	 
14:22:DB:95:A6:C4	 
10:DA:43:AD:D9:E8	 NETGEAR01
A4:6C:2A:2E:C0:E2	 BdMobileNet
A4:6C:2A:2E:C0:E0	 \x00
60:D0:2C:D8:4E:58	 YounionStaff
60:D0:2C:E5:B8:A8	 YounionStaff
F8:E7:1E:C1:F7:B8	 register.synergywifi.com
60:D0:2C:65:B8:A8	 YOUnion.SynergyWifi.com
A4:6C:2A:2E:C0:E3	 BdWebEx
