AC:81:12:E6:9A:BF	 Bodensee
6E:8F:E0:3C:68:50	 xfinitywifi
86:F2:9E:44:C5:A8	 
7E:F2:9E:44:C5:A8	 
F2:93:5B:25:7E:05	 
B0:93:5B:25:7E:05	 Y&V Home
78:F2:9E:44:C5:A8	 Sapphire
F8:A0:97:AE:B8:08	 CHENG
60:D2:48:1F:31:A0	 ATTgedYY4I
FA:8F:CA:63:BE:ED	 
8E:F2:9E:44:C5:A8	 
82:F2:9E:44:C5:A8	 xfinitywifi
7E:61:66:8D:DF:B9	 DIRECT-Hm-FireTV_fac4
1A:05:01:2E:91:10	 xfinitywifi
94:10:3E:93:AC:7A	 LinksysZZ
88:EF:16:79:D8:10	 ATTwJcrUI2
F6:ED:A5:8D:21:90	 xfinitywifi
1A:05:01:C4:D7:38	 xfinitywifi
84:D4:7E:D4:82:91	 
AE:81:12:E6:9A:B0	 Lake Constance
C8:52:61:AA:02:C0	 ATT5sJR9zV
26:05:01:2E:91:10	 
0C:EA:C9:7F:42:D0	 Router? I Hardly Know Her!
10:93:97:55:84:C0	 MattyB
94:57:A5:7D:5A:1D	 HP-Print-1D-Officejet 4630
B0:39:56:5E:37:DB	 NETGEAR38
92:4F:B8:98:49:AE	 
B0:39:56:20:A2:EB	 NETGEAR43
72:4F:B8:98:49:AE	 
04:BD:88:4F:8C:51	 
04:BD:88:4F:83:61	 
04:BD:88:4F:8E:21	 GoogleGuest-Legacy
36:D2:70:82:AF:AA	 \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
F4:0E:83:F8:2B:3A	 Tuna32638
04:BD:88:4F:83:81	 GoogleGuest-Legacy
04:BD:88:4F:83:80	 GTN
18:B8:1F:76:2D:D0	 PP's Wi-Fi
F8:2C:18:17:9C:66	 ATT7hhv7cw
A4:11:62:08:F2:66	 NTGR_VMB_8529210108
DC:7F:A4:55:F3:09	 ATT8RJD8Qg
94:6A:77:B8:00:E5	 
FC:AE:34:9E:9B:C0	 pev
94:6A:77:B8:00:E1	 
F8:18:97:CF:69:AD	 ATT9PH2JCp
04:BD:88:4F:8C:E1	 
38:3B:C8:FC:E0:25	 JBond
F8:F5:32:72:5E:C0	 Jefferson
DC:7F:A4:56:E2:27	 Go_Blue_Guest
CC:40:D0:2F:2F:D3	 NETGEAR81
14:ED:BB:1E:F6:25	 ATT7mtu28L
A4:2B:B0:E8:36:2C	 Sacred Heart of Jesus
AC:84:C6:F0:B4:FE	 TP-Link_B4FE
46:12:65:66:23:53	 
4E:12:65:56:4B:05	 
4A:12:65:56:4B:05	 xfinitywifi
10:93:97:43:BA:70	 ATTCdd4TJA
8A:85:2A:62:10:A8	 
82:85:2A:62:10:A8	 
74:85:2A:62:10:A8	 Hathcock
90:9D:7D:38:54:A0	 ATTypbiI22
0C:EA:C9:DB:41:C0	 
74:8A:0D:55:6C:60	 ATTQhkXy4I
6A:54:25:FB:EB:DD	 OutOfService
70:54:25:FB:EB:DD	 Resilience
6E:54:25:FB:EB:DD	 
72:54:25:FB:EB:DD	 OutOfService
76:54:25:FB:EB:DD	 
88:B4:A6:FC:E8:4A	 MOTO2C90
